,Player,Nationality,Position,Squad,Competition,Age,Year_of_Birth,Matches_Played,Minutes,Minutes_Per_Match_Played,Percentage_of_Squad_Minutes_Played,90s_Played,Starts,Minutes_Per_Match_Started,Complete_Matches_Played,Games_Played_as_Sub,Minutes_Per_Substitution,Games_as_Unused_Sub,Points_per_Match,Goals_Scored_(on_pitch),Goals_Allowed_(on_pitch),Plus/Minus,Plus/Minus_per_90,On-Off,xG_(on_pitch),xGA_(on_pitch),xG_Plus/Minus,xG_Plus/Minus_per_90,xG_On-Off,Matches
227,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,18,2000,1,90,90,2.9,1.0,1,90,1,0,,2,0.00,1,5,-4,-4.00,-3.79,1.6,3.1,-1.5,-1.46,-1.27,Matches
228,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,es La Liga,16,2001,9,399,44,11.7,4.4,5,73,0,4,9,3,1.44,8,5,+3,+0.68,+0.80,6.4,3.9,+2.6,+0.58,+0.62,Matches
229,Édgar Barreto,py PAR,MF,Sampdoria,it Serie A,34,1984,12,785,65,23.0,8.7,9,79,7,3,24,5,1.58,12,7,+5,+0.57,+0.44,9.9,10.7,-0.8,-0.09,+0.03,Matches
230,Musa Barrow,gm GAM,FW,Atalanta,it Serie A,19,1998,22,601,27,17.6,6.7,6,58,0,16,16,13,1.41,15,8,+7,+1.05,+0.28,12.4,6.1,+6.3,+0.94,+0.15,Matches
231,Fin Bartels,de GER,"MF,FW",Werder Bremen,de Bundesliga,31,1987,2,23,12,0.8,0.3,0,,0,2,11,0,3.00,2,1,+1,+3.91,+3.68,1.0,0.7,+0.3,+1.23,+1.42,Matches
232,Marc Bartra,es ESP,DF,Betis,es La Liga,27,1991,33,"2,928",89,85.6,32.5,33,89,31,0,,4,1.42,38,43,-5,-0.15,+0.40,42.4,41.3,+1.1,+0.03,+0.67,Matches
233,Andrea Barzagli,it ITA,DF,Juventus,it Serie A,37,1981,7,260,37,7.6,2.9,4,62,0,3,4,17,2.29,5,3,+2,+0.69,-0.39,3.5,2.8,+0.7,+0.24,-0.45,Matches
234,Daniele Baselli,it ITA,MF,Torino,it Serie A,26,1992,34,"2,379",70,69.6,26.4,27,82,10,7,22,1,1.65,37,27,+10,+0.38,-0.05,33.3,31.9,+1.4,+0.05,+0.27,Matches
235,Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,21,1996,23,"1,333",58,39.0,14.8,16,75,6,7,19,8,0.78,11,18,-7,-0.47,-0.43,14.5,23.6,-9.1,-0.61,-0.41,Matches
236,Thomas Basila,fr FRA,DF,Nantes,fr Ligue 1,19,1999,2,92,46,2.7,1.0,1,90,1,1,2,2,3.00,2,1,+1,+0.98,+1.01,1.0,1.6,-0.5,-0.54,-0.61,Matches
