,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked
1213,1445,Enzo Le Fée,fr FRA,MF,Rennes,fr Ligue 1,23.0,2000.0,17.0,1043.0,998.0,44.0,27.0,5.0,14.0,24,6.0,10.0,3.0,5.0,0.0,897.0,1.0,11.0
1214,1446,Vincent Le Goff,fr FRA,"DF,MF",Lorient,fr Ligue 1,33.0,1989.0,6.0,322.0,280.0,40.0,3.0,1.0,0.0,18,34.0,3.0,1.0,2.0,0.0,252.0,2.0,7.0
1215,1447,Robin Le Normand,es ESP,DF,Real Sociedad,es La Liga,26.0,1996.0,27.4,1765.0,1712.0,51.0,34.0,0.0,11.0,1,0.0,0.0,0.0,0.0,0.0,1562.0,2.0,9.0
1216,1449,Rafael Leão,pt POR,FW,Milan,it Serie A,24.0,1999.0,27.9,1032.0,984.0,42.0,5.0,7.0,8.0,108,25.0,10.0,0.0,0.0,0.0,760.0,6.0,27.0
1217,1450,Adrien Lebeau,fr FRA,"MF,FW",Brest,fr Ligue 1,24.0,1999.0,0.6,29.0,26.0,3.0,0.0,0.0,0.0,3,0.0,3.0,2.0,1.0,0.0,19.0,0.0,3.0
1218,1454,Pierre Lees-Melou,fr FRA,MF,Brest,fr Ligue 1,30.0,1993.0,28.0,1673.0,1618.0,54.0,48.0,6.0,32.0,31,5.0,1.0,0.0,0.0,0.0,1425.0,1.0,26.0
1219,1455,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,24.0,1999.0,30.0,1581.0,1471.0,98.0,54.0,1.0,6.0,4,14.0,0.0,0.0,0.0,0.0,1263.0,12.0,15.0
1220,1456,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,25.0,1998.0,4.2,171.0,169.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0
1221,1457,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,32.0,1991.0,37.0,2031.0,1850.0,167.0,117.0,1.0,35.0,7,4.0,1.0,1.0,0.0,0.0,1636.0,14.0,13.0
1222,1458,Stefan Lekovic,rs SRB,DF,Villarreal,es La Liga,19.0,2004.0,0.3,14.0,14.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
1223,1459,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,30.0,1993.0,22.2,1273.0,1036.0,233.0,23.0,2.0,4.0,37,207.0,0.0,0.0,0.0,0.0,1012.0,4.0,29.0
1224,1460,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,27.0,1995.0,1.8,84.0,81.0,3.0,0.0,1.0,0.0,6,1.0,2.0,2.0,0.0,0.0,71.0,0.0,0.0
