,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Matches
137,Fernando Pacheco,es ESP,GK,Espanyol,es La Liga,30,1992,16,16,"1,440",16.0,33,2.06,88,54,67.0,4,3,9,3,18.8,5,4,1,0,20.0,Matches
138,Rui Patrício,pt POR,GK,Roma,it Serie A,34,1988,35,35,"3,150",35.0,35,1.00,108,73,69.4,17,8,10,13,37.1,3,2,1,0,33.3,Matches
139,Jiří Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,30,1992,33,33,"2,908",32.3,61,1.89,170,110,65.3,10,5,18,4,12.1,3,2,1,0,33.3,Matches
140,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,41,1981,2,2,180,2.0,3,1.50,6,3,66.7,0,1,1,0,0.0,1,1,0,0,0.0,Matches
141,Iñaki Peña ,es ESP,GK,Barcelona,es La Liga,23,1999,2,0,73,0.8,2,2.47,4,2,50.0,0,0,0,0,,0,0,0,0,,Matches
142,Patrick Pentz,at AUT,GK,Reims,fr Ligue 1,25,1997,7,7,630,7.0,14,2.00,29,16,58.6,1,3,3,0,0.0,2,2,0,0,0.0,Matches
143,Simone Perilli,it ITA,GK,Hellas Verona,it Serie A,27,1995,1,1,90,1.0,0,0.00,4,4,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
144,Mattia Perin,it ITA,GK,Juventus,it Serie A,29,1992,11,10,948,10.5,7,0.66,40,32,85.0,5,3,2,6,60.0,2,1,1,0,50.0,Matches
145,Samuele Perisan,it ITA,GK,Empoli,it Serie A,24,1997,7,7,630,7.0,9,1.29,24,15,62.5,1,1,5,2,28.6,0,0,0,0,,Matches
146,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,28,1994,37,37,"3,330",37.0,57,1.54,181,123,71.3,7,12,18,8,21.6,6,5,1,0,16.7,Matches
147,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,30,1992,37,37,"3,261",36.2,32,0.88,118,85,74.6,19,13,5,14,37.8,5,2,2,1,50.0,Matches
148,Ivan Provedel,it ITA,GK,Lazio,it Serie A,28,1994,38,37,"3,413",37.9,30,0.79,128,99,77.3,21,8,8,21,56.8,2,1,0,1,0.0,Matches
149,Ghjuvanni Quilichini,fr FRA,GK,Ajaccio,fr Ligue 1,19,2002,1,0,82,0.9,0,0.00,4,4,100.0,0,0,0,1,,0,0,0,0,,Matches
150,Ionuț Radu,ro ROU,GK,Cremonese,it Serie A,25,1997,9,9,810,9.0,19,2.11,64,45,75.0,0,3,6,1,11.1,3,3,0,0,0.0,Matches
